high arousal,low arousal,medium arousal,medium dominance,low dominance,high dominance,high valence,low valence,medium valence,examples,hedges,self references
raid,canister,grumpy,deed,sadistic,responsibility,easygoing,die,barley,,,
rancid,canned,grunt,deem,satanic,rigorous,eat,difficult,barmaid,,,
rant,canopy,guilt,definition,scalding,rise,eclipse,difficulty,barman,,,
rape,canteen,guilty,deft,scandal,rush,ecosystem,dim,barn,,,
rapist,canvas,gunk,demeanor,scar,sale,ecstasy,dimwit,barnacle,,,
rat,canvass,gurney,den,scared,samurai,ecstatic,dingy,barnyard,,,
rattler,cap,gynecologist,department,scary,sassy,edible,dire,barometer,,,
rattlesnake,capital,hag,depot,schizophrenia,saucy,educate,dirty,baron,,,
reckless,capitalist,hairball,derive,schizophrenic,science,education,disability,baroness,,,
repulsive,card,handcuff,descend,scurvy,sexuality,educational,disable,barracuda,,,
resentment,cardboard,handicap,describe,severe,shake,educator,disabled,barrage,,,
resistance,cardigan,handicapped,desk,sexist,silliness,effective,disadvantage,barrel,,,
retaliation,careful,hang,detach,shithead,sophisticated,effectiveness,disagree,barren,,,
retarded,cargo,haphazard,detergent,shitty,spareribs,efficiency,disagreeable,barricade,,,
revenge,carpenter,hapless,deutschmark,shot,sportsmanship,efficient,disagreement,barrier,,,
revolting,carpet,hardheaded,dew,shriek,stakeout,effort,disappearance,barrister,,,
revolver,carpeting,hardship,diagonal,shrill,stardom,effortless,disappoint,barroom,,,
rickety,carpool,harmful,dialogue,sinful,strut,elaborate,disappointed,bartender,,,
ridicule,carriage,hassle,dib,skunk,superiority,elated,disappointing,barter,,,
ridiculous,carrier,hater,dictate,slander,target,electronic,disappointment,base,,,
riot,cart,headache,dictation,slaughter,technical,electronics,disapproval,baseball,,,
rioting,carte,headless,dictionary,slaughterhouse,theatrical,elegance,disapprove,baseball bat,,,
rip,cartridge,headlock,diddle,slavery,thriving,elegant,disaster,baseline,,,
roach,casing,headstone,differ,slut,throne,elevate,disastrous,baseman,,,
rob,casserole,hearse,difference,smelly,trampoline,eligible,discharge,basement,,,
robber,casual,heartbreaker,digest,snatcher,turbo,elope,disciplinary,bashful,,,
robbery,catalog,heartbreaking,digit,sniper,unbeatable,eloquence,discomfort,basic,,,
rough,catcher,heartburn,dill,snoop,velocity,eloquent,disconcerting,basics,,,
rudeness,category,heartless,disclosure,snowstorm,video game,emancipation,discontent,basin,,,
ruin,caterpillar,heathen,disconnect,sociopath,vigilant,embrace,discord,basis,,,
rupture,catholic,hectic,discretionary,spasm,vigor,embroidery,discourage,basket,,,
ruthless,cattle,hellfire,dishwasher,spider,vigorous,emerald,discouraged,basketball,,,
sabotage,cauliflower,hellish,disinfectant,squealer,vital,emotion,discouraging,bass,,,
sacrificial,cedar,helpless,disk,stab,wardrobe,empathize,discourse,bass guitar,,,
sadistic,ceiling,hematoma,dispense,stalker,watchdog,empathy,discredit,bat,,,
satanic,celery,hemorrhage,distilled,starvation,bite,enchanted,discrepancy,batch,,,
scalding,celibacy,hepatitis,distributor,STD,medication,enchanting,discriminate,bathhouse,,,
scandal,cellar,heroin,district,steal,roughneck,enchantment,discriminating,bathing,,,
scandalous,celluloid,hesitation,diversity,stickup,toilet,enchilada,discrimination,bathroom,,,
scar,cement,hex,divvy,stomachache,ability,encore,disdain,bathtub,,,
scare,centennial,hick,doc,strangle,able,encourage,disdainful,baton,,,
scared,center,hideous,docile,strangulation,academic,encouragement,disease,battalion,,,
scary,century,hiss,docket,stressful,acceptable,encouraging,diseased,batter,,,
scat,ceramics,hitchhiker,doctrine,strike,acceptance,endearing,disembodied,battery,,,
schizophrenia,certain,hitter,document,struggle,accomplishment,endeavor,disgrace,battlefield,,,
schizophrenic,chair,HIV,doghouse,suffocate,accurate,endurance,disgraceful,battleground,,,
scorpion,chalk,hoard,domestic,suicide,ace,enduring,disgruntled,battleship,,,
scoundrel,changer,holdup,donkey,summons,achieve,energetic,disgust,batty,,,
scream,channel,holler,door,surgery,admire,energize,disgusted,bauble,,,
screamer,chant,homeless,doorknob,susceptible,adorable,energy,disgusting,bayonet,,,
screech,chap,homesick,doorstep,swarm,adoration,engage,dishonest,bayou,,,
scrounger,chaperon,homework,dork,swastika,adoring,engaged,dishonesty,bazooka,,,
scum,characterize,homo,dormant,sweatshop,advantage,engagement,dishonor,be,,,
scurvy,charcoal,honky,dose,tarantula,affectionate,enhance,dishonorable,beacon,,,
sever,chart,hooker,dot,termination,afford,enjoy,dislike,bead,,,
severe,checkers,hopeless,downfield,terrified,affordable,enjoyable,disloyal,beady,,,
sexist,chef,horseshit,downy,terrify,agility,enjoyment,disloyalty,beak,,,
shame,cherub,hospice,dowry,terrifying,agree,enlighten,dismal,beaker,,,
shatter,chess,hospital,dozen,terror,agreeable,enlightening,dismay,beam,,,
shithead,chicken,humid,drain,terrorism,agreement,enlightenment,dismissive,bean,,,
shitty,chief,humiliate,drainpipe,terrorist,aloha,entertain,disobedience,beanbag,,,
shoot,chill,hunchback,drape,terrorize,ambition,entertainer,disobey,beanie,,,
shooter,chimney,hunger,drawback,tetanus,amusement,entertaining,disorder,bear,,,
shootout,chip,hurl,drawbridge,theft,angelic,entertainment,disorderly,bearable,,,
shoplifter,choir,hurt,drawer,thief,anniversary,enthusiasm,disorientation,beard,,,
shot,chord,hypertension,dresser,threat,appetizer,enthusiast,disoriented,bearded,,,
shotgun,christen,hypocrisy,driftwood,threaten,appetizing,enthusiastic,disown,bearer,,,
shriek,chromium,hypocrite,droopy,thug,apple,entree,disparage,bearings,,,
shrill,chromosome,hypocritical,dryer,toothache,appreciation,environment,displace,bearskin,,,
sin,chug,hypodermic,duct,torment,appreciative,epic,displacement,beast,,,
sinful,chute,icky,dune,tornado,approval,epiphany,displease,beastly,,,
sinner,cilantro,idiocy,duplex,toxic,approve,equal,displeased,beat,,,
skeptical,cinch,idiot,duration,toxin,aquarium,equality,displeasure,beatnik,,,
skunk,circumference,idiotic,duster,tragedy,arrival,erection,dispute,beaver,,,
slander,civil,ignorance,dustpan,tragic,arrive,espresso,disqualify,bebop,,,
slaughter,civility,ignorant,dwell,traumatic,articulate,essence,disrespect,become,,,
slaughterhouse,clammy,ignore,dye,treacherous,artist,esteem,disrespectful,bedding,,,
slavery,clarification,illegitimate,earthling,treason,artistic,eternal,disrupt,bedside,,,
slut,clarify,illicit,east,tremble,artistry,euphoria,disruption,bedspread,,,
slutty,clarinet,illiterate,eastbound,tsunami,artwork,euphoric,disruptive,beef,,,
smelly,cleaner,illogical,echelon,tumor,aspire,evening,dissatisfied,beefsteak,,,
smut,cleanup,immature,edema,turbulence,aspiring,everlasting,dissection,beehive,,,
snarl,clear,immobile,editorial,turmoil,attention,excellence,dissociative,beep,,,
snatcher,clemency,impair,egg,typhoon,attentive,excellent,distasteful,beeper,,,
sniper,clergy,impatience,eggplant,tyranny,attractive,exceptional,distort,beer,,,
snippy,cleric,impatient,eggshell,tyrant,authentic,excite,distortion,bees,,,
snoop,clerical,impeachment,elbow,ultimatum,authenticity,excited,distract,beeswax,,,
snowstorm,click,impending,elderly,unbearable,available,excitement,distraught,beetle,,,
sociopath,client,imposition,electrician,uncertainty,aviator,exciting,distress,befall,,,
spank,clinic,impossibility,eleven,uncomfortable,awakening,exclamation,distressed,beginner,,,
spanking,clip,impossible,elm,unemployed,aware,exhilarated,distressing,begrudge,,,
spasm,clipboard,impostor,emblem,unemployment,awareness,exhilarating,distrust,behave,,,
speeding,cloakroom,impotence,end table,unforgivable,babe,exotic,disturb,behavior,,,
spider,closure,impotent,engineering,unjust,bake,expansion,disturbance,behavioral,,,
spook,cloth,impound,engraving,unpaid,barefoot,expedition,disturbing,beholden,,,
squealer,cloud,impoverished,ennui,unprotected,bask,experience,ditch,beige,,,
squeamish,clover,impractical,entire,unsafe,bedroom,expert,diva,belated,,,
stab,clump,imprison,envelope,unscheduled,bedtime,explanation,divorce,belay,,,
stalker,coachman,improper,enzyme,vengeance,befriend,exploration,divorcee,belch,,,
starvation,coal,impure,equilibrium,vengeful,behold,explore,dizziness,belief,,,
STD,coat,inability,equipment,venom,believe,exquisite,dizzy,believer,,,
steal,cobbler,inaccurate,escrow,venomous,beloved,extra,domination,bell,,,
steroid,cocoon,inadequate,esquire,victim,beneficial,extraordinaire,doom,bellboy,,,
stickup,code,inadmissible,estimation,vile,benefit,extraordinary,doomsday,bellhop,,,
stinging,codfish,inappropriate,eucalyptus,violate,bestow,extravaganza,doormat,bellman,,,
stomachache,coherent,inaudible,everyday,violence,beverage,eyeliner,doubt,bellow,,,
strangle,collarbone,inbred,expand,violent,bicycle,eyes,douche,belly,,,
strangulation,collect,incapable,external,viral,bless,fabulous,downer,bellybutton,,,
stressful,collective,incessant,eyebrow,wail,bliss,face,downfall,bellyful,,,
strike,colonial,incest,eyelash,war,boardwalk,fair,downside,belongings,,,
striker,column,incision,fabric,warfare,bold,fairness,drab,belt,,,
struggle,columnist,incompatible,fact,warrant,bonding,fairy,drag,beluga,,,
suck,comb,incompetent,factory,wartime,bookshop,faith,dread,bench,,,
sue,comma,incomplete,fade,wasp,bookstore,faithful,dreaded,bend,,,
suffocate,commemorate,incomprehensible,farm,whiplash,boost,familiarity,dreadful,benefactor,,,
suicide,commissioner,inconsiderate,farming,whorehouse,brainstorm,family,dreary,beneficiary,,,
summons,commodore,inconvenient,fauna,wicked,brave,fan,dredge,benevolence,,,
surgery,common,incorrect,feather,wickedness,breakfast,fanciful,drinker,benevolent,,,
susceptible,commoner,incurable,feller,wildfire,bright,fancy,drone,benign,,,
suspicion,commonplace,indebted,fellow,wiretap,brotherly,fantasize,drool,benzene,,,
swarm,communal,indecisive,femur,worried,buddy,fantastic,dropout,bequeath,,,
swastika,commute,indict,fence,worry,buy,fantasy,drought,beret,,,
sweatshop,company,indignant,fender,worrying,cakewalk,farmland,drown,berth,,,
switchblade,comparison,indignity,ferry,wreckage,candy,fascinate,drug dealing,beryllium,,,
tamper,compass,indirect,fiberglass,wrong,capability,fascinating,drunk driving,beseech,,,
tarantula,compliance,ineffective,filet,wrongful,capable,fascination,drunkard,bet,,,
tattletale,comply,inexcusable,filly,zombie,car,fashionable,drunken,beta,,,
tense,compost,inexperienced,finalist,meteorite,carefree,father,drunkenness,bewildered,,,
termination,concede,infantry,fingerprint,pregnant,caress,fatherhood,dubious,bias,,,
terrified,concept,infect,fir,rollercoaster,castle,fatherly,dud,biased,,,
terrify,concerto,infection,fishing boat,supernova,champ,favor,dull,bib,,,
terrifying,concise,inferior,fixture,surprising,champagne,favorable,dumb,bible,,,
terror,conclude,inferiority,flagpole,aftermath,charisma,favorite,dummy,bicarbonate,,,
terrorism,conditioner,infertility,flannel,airplane,charismatic,feast,dump,bicentennial,,,
terrorist,confer,infiltration,flatfoot,alcohol,charitable,feed,dumpster,biceps,,,
terrorize,conference,infirmary,flipper,alligator,charm,feeling,dunce,bid,,,
tetanus,congregation,inflammation,floater,anaconda,charming,feline,dungeon,bidder,,,
theft,conscientious,inflammatory,flooring,anaphylactic,checklist,fellowship,duress,bidding,,,
thief,consecutive,inflation,flour,antsy,cheese,female,dust,bide,,,
threat,consensus,inflict,flue,anxious,cheeseburger,feminine,dysentery,big,,,
threaten,conservation,influenza,foam,ass,cheesecake,fern,dysfunction,biggie,,,
throbbing,conservative,infomercial,folder,asteroid,cherish,fertile,dysfunctional,bighorn,,,
thug,consist,ingrate,folk,atomic,choice,fest,earthquake,bike,,,
toil,consistency,inhospitable,foot,avalanche,citrus,festival,economy,biker,,,
toothache,constable,inject,footage,barracuda,clarity,festive,eerie,bikini,,,
torment,constant,inmate,footing,battlefield,classical,fiancee,egomaniac,bilateral,,,
tornado,constituency,inoperable,ford,battleground,classy,fiction,egotistical,bilge,,,
toxic,constitute,inquest,foreground,bazooka,cleanliness,fidelity,ejection,billboard,,,
toxin,consulate,insecure,foreigner,beast,cleanse,fiesta,electrocute,billiard,,,
traffic,consultant,insecurity,format,bees,cleanser,fillet,electrocution,billionaire,,,
tragedy,contain,insemination,formulate,blaze,cleansing,find,embarrass,bin,,,
tragic,contemplate,insensitive,fortnight,blizzard,closeness,fine,embarrassed,binary,,,
traitorous,context,insidious,founding,buffoon,clothing,finish,embarrassing,bind,,,
trashy,continent,insignificant,foundry,capture,cocoa,firefighter,embarrassment,binder,,,
traumatic,contingency,insolence,fountain,chaotic,commendable,firefly,embezzlement,binding,,,
treacherous,continue,insomnia,framework,cliff,communication,firelight,embezzler,bingo,,,
treachery,continuity,instability,frayed,cobra,compassion,fireman,embolism,binoculars,,,
treason,continuous,insufficient,freezer,combustion,compassionate,fireworks,emergency,bio,,,
tremble,conundrum,insulting,friar,containment,compensation,first,emphysema,biochemical,,,
trickery,cooker,insurance,funnel,contraction,completion,firstborn,emptiness,biochemist,,,
trouble,copier,interrogate,furnace,coral snake,comprehend,fish,empty,biochemistry,,,
troublemaker,copy,interrupt,furniture,cougar,computer,fishing,endanger,biographer,,,
tsunami,copyright,intestinal,fuselage,crazy,confidant,fitness,endangerment,biography,,,
tumor,cordon,intestine,futon,cremation,confidence,fixable,enema,biologist,,,
turbulence,core,intimidating,gad,criticism,confident,fixer,enemy,biology,,,
turmoil,cornball,intolerant,gander,crush,consciousness,flamingo,enraged,bionic,,,
typhoon,corny,intrusion,gauze,dare,consent,flattering,enslave,birdcage,,,
tyranny,correlation,invalid,gear,debauchery,considerate,flavor,entrails,birdman,,,
tyrant,cot,irate,gel,dilemma,consideration,flawless,entrapment,birthing,,,
ultimatum,cotton,irrelevant,generic,distorted,contentment,flexibility,envious,birthmark,,,
unbearable,councilman,irresponsible,gent,dominatrix,convertible,flexible,envy,birthright,,,
uncertainty,counsel,irreversible,genteel,drama,cook,flirt,epidemic,bisexual,,,
uncomfortable,count,irritating,gentile,erosion,cooking,flirty,epidural,bishop,,,
undead,counter,itch,gentry,erupt,cookout,float,epilepsy,bisque,,,
unemployed,cousin,itchy,geographic,eruption,cool,floral,epileptic,bistro,,,
unemployment,cove,jaded,geographical,evacuation,cooperate,florist,err,bit,,,
unfaithful,coverage,jail,geography,exam,cooperation,flourish,erratic,bitsy,,,
unforgivable,cow,jailbird,geometry,expendable,cooperative,flower,error,bittersweet,,,
ungodly,crate,jailer,gerbil,explicit,correct,flowery,estranged,bitty,,,
unjust,crayon,jailhouse,gilded,explode,couch,fluent,eulogy,biz,,,
unpaid,creamer,jinx,glade,explosive,courage,fluffy,euthanasia,bizarre,,,
unprotected,creek,jittery,glance,expose,courteous,focus,evacuate,black,,,
unsafe,crewman,jockstrap,glass,fanatical,cozy,fond,evasion,blackbird,,,
unscheduled,cricket,judgmental,gloves,fiasco,craft,fondness,evasive,blackboard,,,
vagrancy,crop,junk,goalie,fleshy,craftsman,food,evict,blacken,,,
vendetta,cross,junkie,goat,flinch,craftsmanship,football,eviction,blackjack,,,
vengeance,cruiser,junky,godfather,force,creative,footwear,evil,blackness,,,
vengeful,crumb,juvenile,golfer,frantic,crystal,foreplay,ex,blacksmith,,,
venom,crusty,kamikaze,golfing,freaky,cuddle,forest,exclude,bladder,,,
venomous,cube,knockoff,goose,frenzy,customized,forevermore,excrement,blade,,,
vermin,cubic,landfill,governess,gamble,decoration,forgive,excruciating,blameless,,,
vicious,cubicle,landlord,gradual,gator,decorative,forgiveness,execution,bland,,,
victim,cup,laryngitis,grain,gazillion,dedication,forgiving,executioner,blank,,,
vile,curl,lawless,granny,ghostly,delicatessen,fortuitous,exhaustion,blare,,,
violate,current,lawlessness,granola,guerrilla,delight,fortunate,exhumation,blase,,,
violence,curry,laxative,grapevine,gunslinger,delighted,fortune,exile,blast,,,
violent,curt,layover,grassy,hack,deluxe,fragrance,exorcism,blaster,,,
viral,curtains,lecherous,gravel,hacker,dependable,fragrant,exorcist,blastoff,,,
volatile,cushion,leech,great grandma,hallucination,deserve,free,expel,blaze,,,
vulgar,custodian,legislation,great uncle,havoc,deserving,freebie,expensive,blazer,,,
wail,cylinder,leper,grid,hoodlum,destination,freedom,expiration,bleach,,,
war,dab,leprosy,grotto,hormonal,devoted,freeman,expire,bleak,,,
warfare,dabble,lewd,ground,hump,dignified,freestyle,exploit,bleep,,,
warhead,daft,liability,groundhog,hysteria,dignity,fresh,exploitation,blend,,,
warlord,damp,libel,groundwork,immorality,diner,freshen,explosion,blender,,,
warning,dank,lie,grow,impulsive,dining,freshness,expulsion,bleu,,,
warpath,darn,lifeless,guano,indictment,donation,freshwater,exterminate,blimp,,,
warrant,dashboard,lifer,guesthouse,inertia,donor,friend,extermination,blindfold,,,
wartime,dawdle,litigator,guidance,inquisitor,doodle,friendly,exterminator,blink,,,
wasp,dealership,litter,guidebook,insatiable,dreamer,friendship,extinct,blip,,,
weaponry,decedent,loathing,gum,intoxicating,dreamy,frisbee,extinction,blistering,,,
whiplash,decide,loathsome,habitat,knockout,dress,frisky,extort,blitz,,,
whore,decimeter,lobbyist,halfback,landslide,earn,frontier,extortion,blizzard,,,
whorehouse,deck,lockup,halibut,lava,earnings,frosted,extradition,blob,,,
wicked,decorum,locust,hallmark,lightning,easy,frosting,faceless,block,,,
wickedness,decrease,lone,hallway,lottery,eat,fruit,fag,blockbuster,,,
wildfire,deduce,loneliness,halter,lotto,educate,fruit punch,faggot,blockhead,,,
wiretap,deduction,lonely,hamper,lunacy,education,fruitful,fail,blog,,,
witch,deed,loner,handball,marooned,effective,fruity,failure,bloke,,,
worried,deem,lonesome,handkerchief,meteor,effectiveness,fudge,faithless,blond,,,
worry,defer,loser,hanger,monstrosity,efficiency,fulfill,fake,blonde,,,
worrying,definition,louse,harbor,mortality,efficient,fulfillment,faker,bloodhound,,,
wrath,deft,lousy,hark,motherfucking,effort,fun,fallout,bloodline,,,
wreak,demeanor,loveless,harmonica,mutate,effortless,fund,FALSE,bloodstream,,,
wreckage,den,lowdown,haul,necromancer,elegance,funny,famine,bloomers,,,
wrong,department,lowlife,hay,nuclear,eloquence,furry,farewell,blot,,,
wrongful,depot,lump,heck,obsession,eloquent,future,fascism,blotter,,,
zombie,derive,lumpy,helmsman,outlaw,empathize,fuzzy,fascist,blouse,,,
access,descend,lurk,hemoglobin,pandemonium,encourage,galactic,fat,blow,,,
accomplish,describe,lymphoma,hickory,panicky,encouraging,gallant,fatal,blowfish,,,
achievement,desk,lynching,hind,pirate,endearing,gallery,fatality,blowjob,,,
active,detach,maim,hinge,police,enduring,game,fathead,blowout,,,
admiration,detergent,malaria,historian,police officer,enhance,garden,fatigue,blowtorch,,,
admired,deutschmark,malfunction,hoarse,poltergeist,enjoy,gardener,fatigued,blubber,,,
admirer,dew,malice,hog,porn,enjoyable,gardening,fatso,blue spruce,,,
adore,diagonal,malicious,holder,pornography,enlightenment,gazebo,fatty,bluegrass,,,
adrenaline,dialogue,malignant,holistic,predicament,enthusiasm,gazelle,fault,blueprint,,,
advancement,dib,malnutrition,honcho,psychedelic,entree,gem,faulty,bluff,,,
advantageous,dictate,mandate,hoof,psychoanalysis,equal,generosity,fear,blunder,,,
adventure,dictation,mangle,hoop,risk,esteem,generous,fearful,blunt,,,
adventurer,dictionary,mania,host,roulette,exceptional,genius,fearsome,blur,,,
adventurous,diddle,manipulate,hourglass,runaround,experience,gentle,fecal,blurry,,,
affection,differ,manipulation,hourly,shipwreck,expert,gentleman,feces,blurt,,,
alive,difference,manipulative,housing,shitfaced,explanation,gentlemanly,federal,boa constrictor,,,
amazed,digest,manure,hull,shocking,explore,genuine,fee,boar,,,
amazement,digit,mar,husk,slippery,exquisite,geological,felon,board,,,
amazing,dill,marijuana,hut,snake,extraordinary,geologist,felony,board game,,,
amour,disclosure,masochist,hymn,squirm,fairness,gift,ferocious,boarder,,,
amuse,disconnect,materialism,hypothesis,stalk,fairy,gifted,fess,boarding,,,
amusing,discretionary,meager,ice,stampede,faithful,gig,fever,boardroom,,,
animated,discuss,mean,icon,startled,fanciful,giggle,feverish,boast,,,
animation,dishwasher,meanie,id,storm,fantasize,gingerbread,fib,boathouse,,,
aphrodisiac,disinfectant,measles,immaterial,stun,fatherly,giraffe,fibrosis,boatload,,,
applause,disk,meathead,imprint,supernatural,favor,girl,fiend,boatman,,,
arcade,dispense,medication,inactive,thunder,favorable,girlfriend,fight,bobcat,,,
arouse,disposable,mediocrity,inane,thunderbolt,favorite,give,filth,bobsled,,,
arty,distant,melancholy,inanimate,thunderclap,feed,giver,filthy,bode,,,
astonished,distilled,meltdown,inch,thunderstorm,feeling,glad,fireball,bodega,,,
astonishing,distributor,menace,incidental,trick,fiction,glamorous,fist,bodily,,,
attract,district,menacing,incorporate,twat,fidelity,glazed,flabby,body,,,
attraction,diversity,menopause,incubation,unborn,find,glee,flaccid,bodyguard,,,
awake,divvy,menstrual,indicator,uncontrollable,finish,glimmer,flaky,bogeyman,,,
award,doc,merciless,indifferent,underdog,first,glisten,flawed,bohemian,,,
awesome,docile,mess,inflatable,unfamiliar,fishing,glorious,flea,boil,,,
barbecue,docket,messy,inflate,unholy,fixable,glory,fleabag,boiler,,,
bargain,doctrine,meth,informal,unnatural,flamingo,glow,flood,bollocks,,,
bazaar,document,methadone,information,unsolved,flattering,goal,flu,bolt,,,
beautiful,doghouse,methane,ingredient,vamp,flavor,goddess,flunk,bombardier,,,
bestseller,domestic,migraine,inlet,vampire,flawless,godmother,flunky,bombshell,,,
billion,donkey,mildew,inn,verdict,flexibility,godsend,foe,bonanza,,,
birth,door,miscalculation,innate,viper,flexible,gold,fool,bondage,,,
bonus,doorknob,misconception,innkeeper,vodka,flower,golden,foolish,bone,,,
booby,doorstep,misconduct,insignia,volcanic,focus,goldfish,forbid,bonehead,,,
bravery,dopey,misdirection,insipid,volcano,fondness,good,forceful,boner,,,
breakthrough,dork,miser,instruction,voodoo,forgive,goodness,foreboding,bong,,,
breast,dormant,miserable,intangible,wacko,forgiveness,goodwill,foreclose,bonkers,,,
breathtaking,dose,misery,intercom,whirlwind,forgiving,goody,foreclosure,bonnet,,,
brewing,dot,misfire,intermediate,abandon,fragrance,goofy,forfeit,bonny,,,
brighten,downfield,misfortune,interpreter,abandonment,freeman,gorgeous,forgery,bony,,,
brilliance,downtime,misguided,iota,abnormality,freshen,gourmet,forget,boob,,,
brilliant,downy,mishap,iron,abscess,freshness,graceful,forgetful,boogie,,,
brotherhood,dowry,mislead,isle,absinthe,friend,gracious,formaldehyde,bookcase,,,
buttocks,dozen,misleading,isotope,abysmal,friendly,grad,forsake,bookie,,,
caffeine,drain,misplace,item,accident,frisbee,graduate,foul,bookkeeper,,,
cake,drainpipe,misread,itinerary,accidental,fruitful,graduation,fracture,bookkeeping,,,
carnival,drape,mistake,ivory,ache,fulfill,Grand Canyon,frail,booklet,,,
cash,drawback,mistrust,janitor,acne,garden,grandchild,fraud,bookmaker,,,
celebrate,drawbridge,misunderstanding,jar,addicted,generosity,granddad,fraught,bookmark,,,
celebration,drawer,misuse,jean,addiction,gentlemanly,granddaddy,freak,boom,,,
cha cha,dresser,mob,jour,adverse,genuine,granddaughter,freakish,boomer,,,
championship,driftwood,mockery,juke,affliction,gift,grandeur,freezing,boomerang,,,
cheer,droopy,mold,juniper,aging,gifted,grandma,fret,boon,,,
cheerful,drowsy,moldy,justify,agitation,gingerbread,grandmother,friendless,booster,,,
cheery,dryer,molester,kale,AIDS,giver,grandpa,fright,boot,,,
child,duct,monarchy,kappa,ailing,glad,grape,frighten,booth,,,
childbirth,dune,mongrel,kerchief,ailment,glamorous,grape juice,frightened,bootlegger,,,
chocolate,duplex,monoxide,kettle,alcoholism,glee,graphics,frightening,boots,,,
christmas,duration,monsoon,keynote,alienate,glorious,grass,frightful,booty,,,
chuckle,duster,moody,keypad,allergy,goal,grateful,frigid,booze,,,
cinema,dustpan,morgue,khaki,alzheimers,good,gratification,frostbite,bop,,,
citizenship,dwell,moronic,kilo,amnesia,goodwill,gratifying,frown,bopper,,,
clever,dye,mortgage,kin,amputation,goody,gratitude,fruitless,border,,,
cleverness,earthling,mortician,kneel,anarchy,gorgeous,great,frustrated,borderline,,,
climax,ease,mortuary,knob,anemia,graceful,great aunt,frustrating,boron,,,
cocktail,east,motherless,kosher,anemic,grad,great grandfather,frustration,borough,,,
comedian,eastbound,mould,kumquat,angina,graduate,great grandmother,fucker,borrow,,,
comedy,echelon,mourn,lacquer,anguished,grandmother,great grandpa,fugitive,boss,,,
compatibility,edema,mourning,ladle,annoyance,grateful,greatness,fumble,botanical,,,
compensate,editorial,muck,lager,anorexic,gratification,greenhouse,funeral,botany,,,
complement,egg,mucous,lamp,antagonize,gratifying,grill,fungus,bother,,,
compliment,eggplant,mucus,lancer,anthrax,gratitude,grilled,funk,bottle,,,
complimentary,eggshell,muffler,lantern,anxiety,great,grin,furious,bottleneck,,,
concentrate,elbow,mumps,lapel,apocalypse,greatness,grocery,fury,bottling,,,
concert,elder,murky,latch,appalled,grocery,groom,fuss,bottomless,,,
congratulation,elderly,musty,lawn,arsenic,haircut,groovy,fussy,bounce,,,
congratulations,electrician,mutilate,lawnmower,arthritis,handmade,guardian,gallows,bouncer,,,
cosmic,eleven,nab,lax,asbestos,handsome,guitar,gambling,bound,,,
courageous,elm,nag,laziness,asthma,hangout,guy,gang,boundary,,,
crackerjack,emblem,nappy,leaf,asthmatic,hardworking,haircut,gangland,bountiful,,,
create,end table,narcissism,lease,atrocity,harmonious,halo,gangrene,bounty,,,
creation,endorse,narcissistic,leash,atrophy,harvest,hamburger,gangster,bourbon,,,
creativity,engineering,narcotic,lecture,autism,hayride,hammock,garbage,bout,,,
curiosity,engraving,nausea,ledger,autistic,healing,handiwork,gassy,boutique,,,
curious,ennui,nauseating,leg,autopsy,healthy,handmade,gaudy,bovine,,,
dance,entire,nauseous,lend,awful,hear,handsome,geezer,bow,,,
dazzling,entirety,needy,lens,backfire,hearty,hangout,genocide,bowl,,,
delightful,entrust,negative,let,bacteria,heavenly,happiness,geriatric,bowler,,,
desirable,envelope,negativity,letter,bacterial,heirloom,happy,germ,box,,,
desire,enzyme,neglect,lettering,bad,help,hardworking,germs,boxcar,,,
dessert,equilibrium,negligence,level,badness,helpful,hare,ghastly,boxer,,,
determination,equipment,negligent,ligament,balding,heterosexual,harmless,ghetto,boxers,,,
diamond,escrow,nervousness,lighten,banshee,highlight,harmonious,ghoul,boxing,,,
dinnertime,esquire,neurosis,lightweight,barf,holiday,harmony,gimp,boy,,,
discover,estimation,nicotine,likelihood,bastard,home,harvest,glare,boycott,,,
discovery,eucalyptus,nitwit,limestone,battered,homemade,haven,glaucoma,boyhood,,,
dog,everyday,nostril,line,bawl,homeowner,hawk,gloat,boyish,,,
dollar,exit,nosy,linear,bedpan,honest,hayride,gloom,boysenberry,,,
dragon,expand,nuisance,linen,beg,honesty,headphones,gloomy,bozo,,,
drink,external,nuke,lingo,beggar,honey,heal,glucose,bra,,,
eager,eyebrow,numbskull,link,belittle,honor,healer,glum,brace,,,
eclipse,eyelash,nutcase,linoleum,belligerent,honorable,healing,glutton,bracket,,,
ecstasy,fabric,nuthouse,lint,bereavement,honorary,health,gnat,brag,,,
ecstatic,fact,obese,lira,bigamy,hopeful,healthy,goblin,braid,,,
edible,factory,obesity,list,bile,hospitable,hear,goddamned,brain,,,
elated,factual,obituary,listing,bill,hospitality,heart,godforsaken,brainy,,,
elope,fade,obsess,liver,biopsy,hostess,heartfelt,godless,brake,,,
embrace,familiar,obstruct,livestock,bipolar,house,hearty,goner,bran,,,
emerald,fare,obstruction,loaf,bitchy,household,heater,gonorrhea,branch,,,
enchanted,farm,occult,localized,blacklist,hug,heaven,goon,brand,,,
enchanting,farming,odor,locator,blackout,hugger,heavenly,gory,brandy,,,
enchantment,fauna,offence,lofty,blame,hygiene,heightened,gossip,brash,,,
encouragement,feather,offend,longitude,blasphemous,ideal,heirloom,gouge,brass,,,
endurance,feller,offender,lounge,bleed,illumination,helium,gout,brass knuckle,,,
